,rank,name,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
0,1,박건우,두산,0.342,70,175,158,31,54,12,0,5,81,26,2,0
1,2,김응민,두산,0.333,4,3,3,1,1,0,0,1,4,2,0,0
2,3,고영민,두산,0.328,41,77,67,13,22,1,0,3,32,11,0,1
3,4,김현수,두산,0.326,141,630,512,103,167,26,0,28,277,121,0,9
4,5,양의지,두산,0.326,132,513,442,70,144,27,0,20,231,93,2,6
5,6,허경민,두산,0.317,117,453,404,64,128,20,2,1,155,41,8,3
6,7,김재호,두산,0.307,133,488,410,63,126,24,3,3,165,50,14,7
7,8,민병헌,두산,0.303,129,561,491,80,149,20,2,12,209,75,6,6
8,9,정수빈,두산,0.295,128,570,491,79,145,27,7,2,192,59,19,6
9,10,오재일,두산,0.289,66,213,180,33,52,11,1,14,107,36,1,2
10,11,최주환,두산,0.282,100,270,238,34,67,16,2,5,102,32,3,1
11,12,오재원,두산,0.280,120,474,411,60,115,20,2,11,172,59,7,4
12,13,유민상,두산,0.263,15,45,38,5,10,1,0,1,14,6,0,1
13,14,홍성흔,두산,0.262,93,352,301,39,79,12,0,7,112,46,4,0
14,15,로메로,두산,0.253,76,305,265,30,67,16,0,12,119,50,0,7
15,16,김재환,두산,0.235,48,180,153,24,36,8,0,7,65,22,1,2
16,17,정진호,두산,0.234,77,172,154,37,36,5,3,4,59,18,3,0
17,18,국해성,두산,0.200,11,26,20,6,4,1,0,1,8,5,1,2
18,18,류지혁,두산,0.200,14,5,5,3,1,0,0,0,1,0,0,0
19,20,장민석,두산,0.189,53,63,53,15,10,2,0,0,12,4,1,1
20,21,김진형,두산,0.167,14,21,18,3,3,2,0,1,8,2,0,0
21,22,최재훈,두산,0.152,71,114,99,6,15,3,0,0,18,7,3,1
22,23,양종민,두산,0.125,32,18,16,6,2,0,0,1,5,2,0,0
23,24,루츠,두산,0.111,8,30,27,2,3,0,0,1,6,3,0,1
24,25,노경은,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
25,25,니퍼트,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
26,25,양현,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
27,25,이원재,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
28,25,이현승,두산,-,2,0,0,0,0,0,0,0,0,0,0,0
29,25,진야곱,두산,-,2,0,0,0,0,0,0,0,0,0,0,0
