,rank,name,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
0,1,손아섭,롯데,0.317,116,517,445,86,141,28,1,13,210,54,0,3
1,2,아두치,롯데,0.314,132,594,526,105,165,34,5,28,293,106,1,4
2,3,강민호,롯데,0.311,123,456,380,63,118,18,1,35,243,86,0,2
3,4,최준석,롯데,0.306,144,618,507,78,155,18,1,31,268,109,1,1
4,5,김문호,롯데,0.306,93,325,288,35,88,13,0,4,113,31,6,2
5,6,정훈,롯데,0.300,135,562,486,85,146,27,2,9,204,62,7,3
6,7,황재균,롯데,0.290,144,596,534,95,155,41,2,26,278,97,4,6
7,8,오승택,롯데,0.275,122,353,327,57,90,18,1,8,134,43,4,1
8,9,오윤석,롯데,0.273,29,36,33,7,9,1,0,1,13,3,1,0
9,10,김주현,롯데,0.260,47,79,73,7,19,4,0,2,29,12,1,0
10,11,박종윤,롯데,0.255,98,326,314,29,80,11,3,4,109,28,1,1
11,12,문규현,롯데,0.245,105,298,265,24,65,12,1,2,85,25,15,3
12,13,김민하,롯데,0.241,54,141,116,18,28,6,0,1,37,8,3,0
13,14,안중열,롯데,0.240,80,137,125,16,30,10,0,1,43,14,4,1
14,15,이우민,롯데,0.227,75,174,141,18,32,4,0,4,48,18,17,0
15,16,손용석,롯데,0.217,38,74,69,4,15,2,0,0,17,2,4,0
16,17,오현근,롯데,0.214,20,36,28,3,6,2,0,0,8,3,2,0
17,18,김대우,롯데,0.174,39,100,92,9,16,1,1,3,28,9,2,0
18,19,김준태,롯데,0.154,27,31,26,0,4,0,0,0,4,0,1,0
19,19,임재철,롯데,0.154,38,63,52,6,8,2,0,1,13,3,3,0
20,21,김대륙,롯데,0.148,71,63,54,6,8,0,0,0,8,1,2,0
21,22,강동수,롯데,0.125,22,8,8,2,1,0,0,0,1,0,0,0
22,23,김재유,롯데,0.111,18,10,9,3,1,0,0,0,1,1,0,0
23,24,박세웅,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0
24,24,박준서,롯데,0.000,3,5,5,0,0,0,0,0,0,0,0,0
25,24,박진형,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0
26,24,배장호,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0
27,24,백민기,롯데,0.000,8,9,7,1,0,0,0,0,0,0,0,0
28,24,심수창,롯데,-,2,0,0,0,0,0,0,0,0,0,0,0
29,24,이성민,롯데,-,3,0,0,0,0,0,0,0,0,0,0,0
