,name,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,XBH,GO,AO,GO/AO,GW_RBI,BB/K,P/PA,ISOP,XR,GPA
0,박건우,두산,0.342,70,175,158,31,54,12,0,5,81,26,2,0,17,35,40,0.88,4,0.41,3.59,0.171,29.2,0.308
1,김응민,두산,0.333,4,3,3,1,1,0,0,1,4,2,0,0,1,1,1,1.00,0,-,3.67,1.000,0.9,0.483
2,고영민,두산,0.328,41,77,67,13,22,1,0,3,32,11,0,1,4,8,16,0.50,1,0.27,3.75,0.149,11.8,0.301
3,김현수,두산,0.326,141,630,512,103,167,26,0,28,277,121,0,9,54,146,145,1.01,13,1.60,3.72,0.215,118.9,0.332
4,양의지,두산,0.326,132,513,442,70,144,27,0,20,231,93,2,6,47,81,159,0.51,12,0.61,3.78,0.197,89.9,0.313
5,허경민,두산,0.317,117,453,404,64,128,20,2,1,155,41,8,3,23,136,101,1.35,1,0.74,3.66,0.067,56.0,0.264
6,김재호,두산,0.307,133,488,410,63,126,24,3,3,165,50,14,7,30,101,148,0.68,6,1.29,3.85,0.095,63.3,0.27399999999999997
7,민병헌,두산,0.303,129,561,491,80,149,20,2,12,209,75,6,6,34,131,143,0.92,6,0.68,3.78,0.122,76.8,0.27399999999999997
8,정수빈,두산,0.295,128,570,491,79,145,27,7,2,192,59,19,6,36,172,110,1.56,5,0.61,3.78,0.096,70.1,0.26
9,오재일,두산,0.289,66,213,180,33,52,11,1,14,107,36,1,2,26,29,52,0.56,4,0.57,3.79,0.306,39.2,0.32299999999999995
10,최주환,두산,0.282,100,270,238,34,67,16,2,5,102,32,3,1,23,70,68,1.03,2,0.74,4.04,0.147,33.8,0.267
11,오재원,두산,0.280,120,474,411,60,115,20,2,11,172,59,7,4,33,108,98,1.10,6,0.50,4.15,0.139,64.6,0.265
12,유민상,두산,0.263,15,45,38,5,10,1,0,1,14,6,0,1,2,8,12,0.67,2,0.56,4.29,0.105,5.8,0.252
13,홍성흔,두산,0.262,93,352,301,39,79,12,0,7,112,46,4,0,19,84,79,1.06,4,0.71,4.09,0.110,40.6,0.256
14,로메로,두산,0.253,76,305,265,30,67,16,0,12,119,50,0,7,28,64,92,0.70,4,0.60,3.86,0.196,40.8,0.26
15,김재환,두산,0.235,48,180,153,24,36,8,0,7,65,22,1,2,15,44,36,1.22,2,0.56,3.86,0.190,22.5,0.257
16,정진호,두산,0.234,77,172,154,37,36,5,3,4,59,18,3,0,12,55,39,1.41,3,0.58,3.49,0.149,19.0,0.23199999999999998
17,국해성,두산,0.200,11,26,20,6,4,1,0,1,8,5,1,2,2,7,6,1.17,0,0.40,3.46,0.200,2.7,0.226
