,name,SBA,SB%,OOB
0,고영민,6,66.66666666666666,1
1,국해성,0,0.0,0
2,김응민,0,0.0,0
3,김재호,9,77.77777777777779,4
4,김재환,5,80.0,1
5,김진형,0,0.0,0
6,김현수,16,68.75,7
7,노경은,0,0.0,0
8,니퍼트,0,0.0,0
9,로메로,2,100.0,6
10,루츠,0,0.0,0
11,류지혁,0,0.0,0
12,민병헌,10,70.0,4
13,박건우,3,66.66666666666666,2
14,양의지,9,55.55555555555556,11
15,양종민,1,0.0,1
16,양현,0,0.0,0
17,오재원,39,79.48717948717949,3
18,오재일,0,0.0,0
19,유민상,1,100.0,1
20,이원재,0,0.0,0
21,이현승,0,0.0,0
22,장민석,1,0.0,1
23,정수빈,24,62.5,5
24,정진호,9,66.66666666666666,1
25,진야곱,0,0.0,0
26,최영진,0,0.0,0
27,최재훈,0,0.0,1
28,최주환,3,0.0,3
29,함덕주,0,0.0,0
30,허경민,11,72.72727272727273,2
31,홍성흔,9,88.88888888888889,2
